iter	Logloss
0	0.5824522229
1	0.5076030811
2	0.4628621068
3	0.4325464962
4	0.4129927965
5	0.3990045209
6	0.3874133568
7	0.3794295008
8	0.3740306216
9	0.3687375027
10	0.3654018313
11	0.3614318316
12	0.3585424621
13	0.3568212731
14	0.3540980529
15	0.3521870161
16	0.3503334145
17	0.3485101986
18	0.3475106988
19	0.3466041231
20	0.3457870901
21	0.3452890083
22	0.3446109348
23	0.3435860601
24	0.3429415924
25	0.3425424868
26	0.3422343201
27	0.3417502571
28	0.3412095496
29	0.3392874835
30	0.3382890271
31	0.3377072212
32	0.3372552639
33	0.3368781316
34	0.3363381027
35	0.3360047097
36	0.3356329674
37	0.3354177237
38	0.3348057597
39	0.3345297206
40	0.3342323109
41	0.3336713776
42	0.3329452902
43	0.3326153554
44	0.3324584569
45	0.3319212794
46	0.3315149787
47	0.3313605543
48	0.3311046316
49	0.3309183722
50	0.3307262646
51	0.3305753557
52	0.330313156
53	0.3301477311
54	0.329932827
55	0.3297626834
56	0.3296126451
57	0.3293579614
58	0.3292005882
59	0.3290659607
60	0.3288999957
61	0.3287244906
62	0.3284955626
63	0.3283908801
64	0.3282202887
65	0.328043021
66	0.3278612757
67	0.3277278504
68	0.3275387088
69	0.3273125529
70	0.3271113123
71	0.3269867078
72	0.3268707087
73	0.3266990532
74	0.3266252227
75	0.3264274646
76	0.3263208731
77	0.3261578224
78	0.3260675541
79	0.3258989171
80	0.3255663719
81	0.3254109996
82	0.3253348849
83	0.3252126913
84	0.3250574177
85	0.3248557645
86	0.3247906292
87	0.3246704921
88	0.3245922247
89	0.3244815188
90	0.3244161338
91	0.3243264149
92	0.3242425645
93	0.3241339839
94	0.3239859586
95	0.3238748287
96	0.323769685
97	0.3235185518
98	0.3234473791
99	0.3233453054
100	0.323273832
101	0.3231265227
102	0.3230675776
103	0.3229731174
104	0.3228425442
105	0.322767196
106	0.3226174179
107	0.3224706259
108	0.3223190046
109	0.3221988636
110	0.3221191347
111	0.3220484297
112	0.3219508653
113	0.3218559949
114	0.3217832614
115	0.3216806739
116	0.321559744
117	0.3214031781
118	0.3213262482
119	0.3212248912
120	0.3211200195
121	0.3210573882
122	0.3209830592
123	0.3209238654
124	0.3208187754
125	0.3207300968
126	0.3206307627
127	0.32050033
128	0.320371265
129	0.320314061
130	0.3201982397
131	0.3200741064
132	0.3199730122
133	0.319791647
134	0.319681084
135	0.3195659754
136	0.3194826745
137	0.3194201974
138	0.3193495709
139	0.3192684325
140	0.3191628519
141	0.3190720754
142	0.3190202644
143	0.3188759057
144	0.3187758352
145	0.3187010431
146	0.3186303779
147	0.3185531717
148	0.318457751
149	0.3183325485
150	0.3182734878
151	0.318198642
152	0.3180664626
153	0.3179575923
154	0.3178531569
155	0.3177747358
156	0.3177113689
157	0.3176424099
158	0.3175453233
159	0.3174749458
160	0.3174381181
161	0.3173832728
162	0.3172970617
163	0.31721607
164	0.317126204
165	0.3170601058
166	0.3170199198
167	0.3169052505
168	0.3168100395
169	0.3167212599
170	0.3166286087
171	0.3165354321
172	0.3164752018
173	0.3164291568
174	0.3163509648
175	0.3162967774
176	0.316191437
177	0.3161380628
178	0.3160694653
179	0.3159697018
180	0.3158919504
181	0.3158601731
182	0.3157872743
183	0.315650011
184	0.3155606874
185	0.3155152435
186	0.3153770244
187	0.3152764458
188	0.3152231341
189	0.3151657176
190	0.3150918713
191	0.314998977
192	0.3149462032
193	0.3148821076
194	0.3147674875
195	0.3147052616
196	0.314636235
197	0.3145706656
198	0.3144687355
199	0.3144272262
200	0.3143478873
201	0.3142913288
202	0.3142450237
203	0.3141555085
204	0.314080934
205	0.3140244123
206	0.3139833028
207	0.313936436
208	0.3138195144
209	0.3137685701
210	0.3137250322
211	0.3136229988
212	0.3135878694
213	0.3135155268
214	0.3134539307
215	0.3133167236
216	0.3131962835
217	0.3131351192
218	0.313074918
219	0.3129936419
220	0.3129431471
221	0.3128963195
222	0.3128522017
223	0.3127858969
224	0.3127172304
225	0.3124965331
226	0.3124174549
227	0.3123394347
228	0.3122767916
229	0.3122024551
230	0.3121042158
231	0.3120053079
232	0.3119462643
233	0.3118699959
234	0.3117888198
235	0.3117189057
236	0.3116657477
237	0.3115902593
238	0.311528182
239	0.3114709326
240	0.3114040495
241	0.3113294795
242	0.3111378211
243	0.3110298999
244	0.3109620896
245	0.3108993579
246	0.3108306848
247	0.3107422664
248	0.3106963472
249	0.3106020474
250	0.3105314914
251	0.3104791464
252	0.3104196781
253	0.3103342642
254	0.3102973355
255	0.3102587433
256	0.3101843353
257	0.3101199761
258	0.3100733509
259	0.3100271443
260	0.3099903023
